,,Author,"Author Description",Date,Rating,"Helpful count",Review,"Picture included",Language,"Message Original","Language code","Reviewer Data","Profile Url","Review Url",Photos,"Message Translated"
1,,"Esteban Rojas Franco","1 review","2025-04-16 14:18:25",5,0,"Excelente atención, profesionales y muy buenos espacios
Recomendada",no,Spanish,"Excelente atención, profesionales y muy buenos espacios
Recomendada",Spanish,"1 review",https://www.google.com/maps/contrib/100048994189621385219?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvdXRYbjd3RRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoutXn7wE%7C%7C?hl=en,,
2,,"Carolina García","2 reviews","2025-04-16 17:02:33",5,0,,no,,,,"2 reviews",https://www.google.com/maps/contrib/117259658239545089232?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvaHZ2S1R3EAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohvvKTw%7C%7C?hl=en,,
3,,"Marcela Hernandez","1 review","2025-04-16 17:02:37",5,0,,no,,,,"1 review",https://www.google.com/maps/contrib/100152187519765196514?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvaHZ2T2tnRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohvvOkgE%7C%7C?hl=en,,
4,,"Edwin farley Hernández jaramillo","1 review","2025-04-16 17:02:55",5,0,"Me encantó, gran personal humano",no,Spanish,"Me encantó, gran personal humano",Spanish,"1 review",https://www.google.com/maps/contrib/100487279718929719651?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvaG9lSU5REAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohoeINQ%7C%7C?hl=en,,
5,,"Luisa Fernanda Agradecer",,"2025-04-16 17:02:55",5,0,,no,,,,,https://www.google.com/maps/contrib/104355008152744696533?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvaG9mb3dBRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohofowAE%7C%7C?hl=en,,
6,,"Juliana Gil Rivera","1 review","2025-04-16 17:02:58",5,0,,no,,,,"1 review",https://www.google.com/maps/contrib/107469340957165629574?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvaG9lVWJREAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohoeUbQ%7C%7C?hl=en,,
7,,"Melany Lopera González",,"2025-04-16 17:03:12",5,0,,no,,,,,https://www.google.com/maps/contrib/108351928933569722252?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvaG9lVkZnEAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohoeVFg%7C%7C?hl=en,,
8,,"Lina Patiño",,"2025-04-16 17:03:16",5,0,,no,,,,,https://www.google.com/maps/contrib/114319767775529837624?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvaG9majRBRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohofj4AE%7C%7C?hl=en,,
9,,"santiago castano","2 reviews","2025-04-16 17:03:34",5,0,,no,,,,"2 reviews",https://www.google.com/maps/contrib/104995203171054028562?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvaHNmcV9BRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohsfq_AE%7C%7C?hl=en,,
10,,"Angela Ceron","1 review","2025-04-16 17:04:00",5,0,"Excelente Atencion y servicio",no,Spanish,"Excelente Atencion y servicio",Spanish,"1 review",https://www.google.com/maps/contrib/112366353030620781362?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvaHFlSTJRRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohqeI2QE%7C%7C?hl=en,,
11,,"Katherine Molina Jaramillo","2 reviews","2025-04-16 17:04:34",5,0,,no,,,,"2 reviews",https://www.google.com/maps/contrib/115349220680268314777?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvaHFmX0VnEAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohqf_Eg%7C%7C?hl=en,,
12,,"Juan Camilo Gaviria","1 review","2025-04-16 17:05:01",5,0,"Excelente atención y profesionalismo en todos los servicios que ofrecen. El equipo médico y administrativo de NEURUM IPS demuestra un alto compromiso con la salud y el bienestar de los pacientes. Las instalaciones son modernas, limpias y adecuadas para una atención cómoda y segura. Destaco la amabilidad del personal, la puntualidad en las citas y la calidad humana en cada consulta. Sin duda, una IPS altamente recomendable.",no,Spanish,"Excelente atención y profesionalismo en todos los servicios que ofrecen. El equipo médico y administrativo de NEURUM IPS demuestra un alto compromiso con la salud y el bienestar de los pacientes. Las instalaciones son modernas, limpias y adecuadas para una atención cómoda y segura. Destaco la amabilidad del personal, la puntualidad en las citas y la calidad humana en cada consulta. Sin duda, una IPS altamente recomendable.",Spanish,"1 review",https://www.google.com/maps/contrib/109679571522648004537?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvaHVlVFZ3EAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohueTVw%7C%7C?hl=en,,
13,,"Katheren Yulieth Villamizar Vergara",,"2025-04-16 17:05:55",5,0,,no,,,,,https://www.google.com/maps/contrib/114792161367530012712?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvaHRlVDF3RRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohteT1wE%7C%7C?hl=en,,
14,,"Eyleen Sarmiento",,"2025-04-16 17:06:20",5,0,,no,,,,,https://www.google.com/maps/contrib/116670787434983353960?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvaHZmSXFnRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCohvfIqgE%7C%7C?hl=en,,
15,,"Luisa Fernanda Castañeda Serna","1 review","2025-04-16 17:06:42",5,0,"Excelente servicio, instalaciones y personal humano.",no,Spanish,"Excelente servicio, instalaciones y personal humano.",Spanish,"1 review",https://www.google.com/maps/contrib/102583483246872510896?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvaG8taUFREAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoho-iAQ%7C%7C?hl=en,,
16,,"Gustavo Hincapie","1 review","2025-04-16 17:09:14",5,0,,no,,,,"1 review",https://www.google.com/maps/contrib/104042701791878319998?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHFDWmRREAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxqCZdQ%7C%7C?hl=en,,
17,,"Deysy Lorena Montoya Tangarife","Local Guide · 37 reviews","2025-04-16 17:09:19",5,0,"Excelente Servicio",no,Spanish,"Excelente Servicio",Spanish,"Local Guide · 37 reviews",https://www.google.com/maps/contrib/118078384181501172159?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHFESFZBEAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxqDHVA%7C%7C?hl=en,,
18,,"Ana Maria Castro Barrera",,"2025-04-16 17:10:34",5,0,,no,,,,,https://www.google.com/maps/contrib/110820152383191871190?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveG9qVkdBEAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxojVGA%7C%7C?hl=en,,
19,,"Nutricionista Neurumdm1","1 review","2025-04-16 17:13:16",5,0,"Es una IPS con un excelente servicio y calidad humana, 100% recomendados",no,Spanish,"Es una IPS con un excelente servicio y calidad humana, 100% recomendados",Spanish,"1 review",https://www.google.com/maps/contrib/116809300524215003668?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHZTQlNBEAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxvSBSA%7C%7C?hl=en,,
20,,"Juan David Rodas","1 photo","2025-04-16 17:14:20",5,0,,no,,,,"1 photo",https://www.google.com/maps/contrib/102995134286956355908?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHR6Vlp3EAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxtzVZw%7C%7C?hl=en,,
21,,"Gustavo Molina","2 reviews","2025-04-16 17:15:31",5,0,,no,,,,"2 reviews",https://www.google.com/maps/contrib/103522515922704947137?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHFLdV9nRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxqKu_gE%7C%7C?hl=en,,
22,,"Karen Hernández","2 reviews","2025-04-16 17:15:41",5,0,"Recomiendo esta IPS. Siempre llegan los medicamento hasta la puerta de la casa, y los trabajadores que nos transportan tienen excelente calidad humana",no,Spanish,"Recomiendo esta IPS. Siempre llegan los medicamento hasta la puerta de la casa, y los trabajadores que nos transportan tienen excelente calidad humana",Spanish,"2 reviews",https://www.google.com/maps/contrib/103444316470742947284?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHFMdlFBEAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxqLvQA%7C%7C?hl=en,,
23,,"Maria Paulina Muñoz Jaramillo","2 reviews","2025-04-16 17:17:57",5,0,"Atención de alta calidad, humana e interdisciplinaria",no,Spanish,"Atención de alta calidad, humana e interdisciplinaria",Spanish,"2 reviews",https://www.google.com/maps/contrib/103066803180380993287?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHNycVRREAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxsrqTQ%7C%7C?hl=en,,
24,,"Paula Posada","1 review","2025-04-16 17:19:58",5,0,,no,,,,"1 review",https://www.google.com/maps/contrib/106812435573718220700?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHRyanBBRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxtrjpAE%7C%7C?hl=en,,
25,,"Saskia Prasca","2 reviews","2025-04-16 17:23:02",5,0,"Excelente ambiente de trabajo y atención a los pacientes.
Calidad de las instalaciones excelsa.",no,Spanish,"Excelente ambiente de trabajo y atención a los pacientes.
Calidad de las instalaciones excelsa.",Spanish,"2 reviews",https://www.google.com/maps/contrib/109545608172935639974?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHBhYXNnRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxpaasgE%7C%7C?hl=en,,
26,,"Maria Isabel Gaviria",,"2025-04-16 17:24:11",5,0,,no,,,,,https://www.google.com/maps/contrib/103475532901402801401?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHJhcGlBRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxrapiAE%7C%7C?hl=en,,
27,,"Juliana Hincapié Garcia",,"2025-04-16 17:24:41",5,0,,no,,,,,https://www.google.com/maps/contrib/103809675095070958959?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHZibTlBRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxvbm9AE%7C%7C?hl=en,,
28,,"Yuly Pérez",,"2025-04-16 17:25:09",1,0,,no,,,,,https://www.google.com/maps/contrib/108356076389372289765?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveG82OGFnEAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxo68ag%7C%7C?hl=en,,
29,,"Erika Giraldo",,"2025-04-16 17:25:55",5,0,,no,,,,,https://www.google.com/maps/contrib/117396542427635359248?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHM2Um5BRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxs6RnAE%7C%7C?hl=en,,
